Date,Open,High,Low,Close,Volume
2025-01-02,1641.32,1641.32,1629.23,1632.87,105634187
2025-01-03,1634.94,1636.08,1626.04,1629.46,165077715
2025-01-06,1629.74,1631.71,1623.64,1625.47,152874704
2025-01-07,1624.5,1634.27,1624.5,1629.79,264417969
2025-01-08,1628.92,1631.15,1614.83,1614.83,235178551
2025-01-09,1618.17,1618.17,1600.75,1600.81,237740764
2025-01-10,1603.54,1605.74,1599.71,1602.41,183784537
2025-01-13,1598.96,1599.36,1578.97,1585.59,225818488
2025-01-14,1592.97,1599.43,1576.46,1576.46,258197366
2025-01-15,1582.33,1586.21,1558.6,1562.12,291420227
2025-01-16,1572.61,1576.57,1555.54,1555.54,262012396
2025-01-17,1553.43,1569.43,1545.67,1566.72,319241056
2025-01-20,1571.14,1575.11,1563.48,1572.34,206704194
2025-01-21,1574.91,1582.32,1570.97,1580.46,207229933
2025-01-22,1583.22,1590.81,1581.4,1587.8,175770996
2025-01-23,1586.52,1586.52,1575.67,1577.2,174602190
2025-01-24,1577.5,1577.5,1566.84,1573.73,364523053
2025-01-27,1573.31,1573.31,1558.97,1558.97,249796649
2025-01-28,1557.44,1557.44,1544.87,1552.69,252252013
2025-01-31,1553.78,1563.03,1545.84,1556.92,244500665
2025-02-03,1547.56,1556.74,1546.68,1553.63,143952903
2025-02-04,1557.03,1564.97,1554.59,1564.56,172658389
2025-02-05,1565.63,1576.45,1564.43,1574.51,215014961
2025-02-06,1576.43,1585.17,1573.9,1585.17,150945864
2025-02-07,1583.62,1591.49,1582.92,1590.91,181310311
2025-02-10,1587.65,1590.49,1584.2,1589.95,152044297
2025-02-12,1592.32,1603.05,1592.32,1603.05,231122084
2025-02-13,1601.98,1605.48,1592.2,1592.28,162314456
2025-02-14,1592.91,1595.01,1587.58,1591.6,155375093
2025-02-17,1592.48,1592.48,1580.94,1582.76,133790201
2025-02-18,1580.22,1584.84,1575.68,1584.84,164136926
2025-02-19,1583.22,1583.75,1578.89,1580.88,162787134
2025-02-20,1580.62,1581.49,1572.51,1577.67,186006680
2025-02-21,1579.92,1591.03,1578.14,1591.03,228067456
2025-02-24,1586.39,1586.39,1577.95,1584.25,181647545
2025-02-25,1582.73,1583.74,1564.32,1568.03,207853480
2025-02-26,1566.27,1588.71,1565.46,1588.71,187294563
2025-02-27,1587.99,1588.29,1583.45,1586.6,199601478
2025-02-28,1581.97,1581.97,1573.82,1574.7,587066777
2025-03-03,1572.27,1580.8,1568.59,1571.39,170204679
2025-03-04,1561.7,1564.26,1555.04,1555.66,219146780
2025-03-05,1560.56,1569.61,1560.56,1564.42,241470596
2025-03-06,1568.95,1569.43,1554.85,1558.91,221154769
2025-03-07,1555.75,1556.46,1543.21,1547.27,202253437
2025-03-10,1545.58,1550,1536.46,1536.46,190082950
2025-03-11,1526.01,1527.19,1514.48,1520.15,275253733
2025-03-12,1504.71,1505.33,1478.84,1484.83,411955367
2025-03-13,1488.79,1513.97,1487,1510.03,298240882
2025-03-14,1499.95,1516.25,1493.29,1512.15,244602739
2025-03-17,1517.58,1531.63,1517.58,1527.81,228172946
2025-03-19,1513.29,1523.39,1512.21,1517.66,293995362
2025-03-20,1522.4,1524.23,1504.14,1504.16,260966312
2025-03-21,1503.87,1513.23,1503.71,1505.45,463361773
2025-03-24,1506.5,1508.9,1502.98,1503.82,143491077
2025-03-25,1510.07,1515.87,1509.4,1513.6,234968464
2025-03-26,1516.61,1525.73,1514.65,1518.05,227867966
2025-03-27,1513.08,1535.73,1512.81,1535.73,251014398
2025-03-28,1531.57,1533.52,1513.65,1513.65,214339372
2025-04-02,1517.14,1526.52,1514.08,1526.52,192860149
2025-04-03,1517.3,1524.41,1512.32,1518.91,135530043
2025-04-04,1509.01,1515.74,1500.9,1504.14,167977951
2025-04-07,1475.31,1475.31,1419.05,1443.8,433224630
2025-04-08,1451.43,1454.58,1440.89,1443.56,270135678
2025-04-09,1437.01,1438.99,1386.63,1400.59,388262130
2025-04-10,1464.3,1473.36,1453.13,1463.13,329792133
2025-04-11,1441.66,1462.15,1434.92,1454.76,222560203
2025-04-14,1474.05,1480.86,1472.14,1480.86,170791760
2025-04-15,1484.01,1489.9,1480.02,1486.43,160116497
2025-04-16,1486.45,1487.5,1472.84,1476.92,127502524
2025-04-17,1475.17,1487.27,1473.21,1483.27,147713224
2025-04-18,1481.64,1499.4,1480.52,1499.4,92427085
2025-04-21,1502.08,1502.08,1494.27,1499.47,90695240
2025-04-22,1492.44,1492.44,1482.7,1486.25,146829237
2025-04-23,1497.36,1501.19,1493.26,1501.19,185270494
2025-04-24,1500.55,1507.45,1500.4,1506.52,177151687
2025-04-25,1511.64,1512.29,1505.68,1509.2,144761386
2025-04-28,1509.2,1521.59,1509.2,1521.59,115135337
2025-04-29,1520.98,1524.5,1515.56,1515.56,124757374
2025-04-30,1518.07,1540.22,1518.07,1540.22,193664406
,,,,,
