stock_code,optimal_weight,optimal_return,optimal_risk
2089.KL,1.52E-01,0.277611336,0.065787997
3301.KL,7.97E-02,,
1155.KL,1.02E-19,,
4006.KL,2.10E-19,,
5209.KL,7.26E-02,,
5347.KL,1.05E-03,,
5983.KL,8.56E-02,,
1066.KL,0.00E+00,,
1818.KL,4.00E-19,,
5228.KL,6.03E-02,,
5176.KL,2.97E-02,,
5109.KL,2.89E-02,,
5236.KL,3.30E-02,,
5606.KL,8.11E-02,,
6432.KL,6.34E-02,,
3476.KL,4.22E-03,,
5227.KL,8.27E-03,,
7100.KL,1.73E-03,,
2488.KL,2.46E-04,,
7084.KL,2.28E-03,,
5014.KL,2.28E-02,,
5212.KL,1.56E-19,,
7103.KL,5.79E-02,,
6351.KL,1.21E-02,,
5398.KL,7.11E-02,,
5008.KL,3.85E-02,,
5878.KL,2.78E-02,,
2305.KL,5.08E-02,,
5819.KL,5.62E-19,,
5185.KL,1.48E-02,,
