stock_code,optimal_weight,optimal_return,optimal_risk
2089.KL,0.0598,0.2544,0.0672
3301.KL,0.0338,,
1155.KL,0.0206,,
4006.KL,0.0281,,
5209.KL,0.0382,,
5347.KL,0.0323,,
5983.KL,0.0515,,
1066.KL,0.0199,,
1818.KL,0.0219,,
5228.KL,0.0252,,
5176.KL,0.0244,,
5109.KL,0.0252,,
5236.KL,0.0371,,
5606.KL,0.0437,,
6432.KL,0.0401,,
3476.KL,0.0318,,
5227.KL,0.0247,,
7100.KL,0.0229,,
2488.KL,0.0359,,
7084.KL,0.0259,,
5014.KL,0.0323,,
5212.KL,0.0209,,
7103.KL,0.0486,,
6351.KL,0.0226,,
5398.KL,0.0789,,
5008.KL,0.0369,,
5878.KL,0.0497,,
2305.KL,0.0198,,
5819.KL,0.0087,,
5185.KL,0.0383,,
