stock_code,optimal_weight,optimal_return,optimal_risk
9687.KL,0.1805518290,0.335780147,0.082509368
3301.KL,0.2662633240,,
5162.KL,0.0492484298,,
0117.KL,0.0346972754,,
6432.KL,0.0955204983,,
5136.KL,0.0497080941,,
8907.KL,0.0565596262,,
7249.KL,0.0208372177,,
7197.KL,0.0185090139,,
1287.KL,0.0003774758,,
5272.KL,0.0000000000,,
7247.KL,0.0501933367,,
3565.KL,0.0000000000,,
5238.KL,0.0000000000,,
7094.KL,0.0002991494,,
4286.KL,0.0000000000,,
5259.KL,0.0000000000,,
2569.KL,0.0000000000,,
7246.KL,0.0029969861,,
9377.KL,0.0338248293,,
5084.KL,0.0252656261,,
0173.KL,0.0082088682,,
2755.KL,0.0876888349,,
5028.KL,0.0000000000,,
0089.KL,0.0000000000,,
7010.KL,0.0000000000,,
0232.KL,0.0000000000,,
9679.KL,0.0000000000,,
0230.KL,0.0078243013,,
7195.KL,0.0114252836,,
