stock_code,optimal_weight,optimal_return,optimal_risk
9687.KL,0.125261352,0.267255498,0.074735986
3301.KL,0.313813463,,
5162.KL,0.000000000,,
0117.KL,0.012446683,,
6432.KL,0.114624143,,
5136.KL,0.016327471,,
8907.KL,0.037654846,,
7249.KL,0.004907993,,
7197.KL,0.002554226,,
1287.KL,0.000000000,,
5272.KL,0.000000000,,
7247.KL,0.080372963,,
3565.KL,0.000000000,,
5238.KL,0.000000000,,
7094.KL,0.007943601,,
4286.KL,0.006475935,,
5259.KL,0.000000000,,
2569.KL,0.030695621,,
7246.KL,0.022249841,,
9377.KL,0.025137779,,
5084.KL,0.019816197,,
0173.KL,0.008284828,,
2755.KL,0.118010512,,
5028.KL,0.000000000,,
0089.KL,0.000000000,,
7010.KL,0.000000000,,
0232.KL,0.012458461,,
9679.KL,0.014781367,,
0230.KL,0.023805076,,
7195.KL,0.002377643,,
